Column1
Predict the result for the following students using Naive Bayes algorithm. Compare your prediction with true ones in the third column. For how many students the algorithm predicted the admission correctly.   
 
"   30.0588  					49.5930        			 0"
"   44.6683  					66.4501         			 0"
   66.5609  41.0921     0
"   49.0726   					51.8832         			 0"
"   32.7228  					43.3072          			 0"
"   60.4556   					42.5084                   	 0"
"   82.2267   					42.7199                        0"
"   42.0755   					78.8448         			 0"
"   52.3480   					60.7695         			 0"
"   55.4822   					35.5707            		 0"
"   99.8279    					72.3693    			  1.0000"
"   47.2643   					88.4759    			  1.0000"
"   50.4582   					75.8099    			  1.0000"
"   88.9139   					69.8038    			  1.0000"
"   94.8345   					45.6943    			  1.0000"
"   67.3193   					66.5894      		  1.0000"
"   57.2387      					59.5143     		  1.0000"
"   80.3668   					90.9601    			  1.0000"
"   68.4685   					85.5943                   1.0000"
"   75.4777  	 				90.4245     		  1.0000"
 

